pays,dispo_alimentaire,dispo_proteine,production,importations,dispo_interieure,population,croissance_population_5ans,PIB_habitant,stabilite_politique,distance_paris_km,PIB_total
El Salvador,20.43,6.25,136.0,16.0,131.0,6388126,2.407900834941374,3986.049014,-0.26,8988.620806265557,25463383344
Espagne,30.39,12.47,1515.0,205.0,1497.0,46647428,-0.8831384954569464,28190.806667,0.27,1052.9651859490534,1315028624261
Estonie,21.26,7.27,20.0,21.0,29.0,1319390,-0.28484860851945987,20435.205904,0.64,1862.9683263819968,26962006318
Eswatini,6.46,2.23,6.0,2.0,7.0,1124805,4.2173173425443435,3822.79341,-0.27,8803.690256906697,4299897142
Fidji,28.02,9.44,23.0,3.0,26.0,877459,1.4322556928984855,5825.224293,0.59,16577.12638389123,5111395483
Finlande,18.76,7.87,129.0,16.0,111.0,5511371,1.784027761105273,46412.760009,1.06,1912.7869792980553,255797939544
France,22.9,8.95,1750.0,506.0,1573.0,64842509,2.0110181166225574,40458.149878,0.27,0.0,2623407947588
Fédération de Russie,30.98,10.44,4444.0,226.0,4556.0,145530082,1.0668438630716364,10822.770083,-0.64,2493.6548423013624,1575038617646
Gabon,29.33,10.59,4.0,76.0,78.0,2064823,18.011330058833536,6975.769483,-0.11,5410.968114582743,14403729271
Gambie,3.53,1.24,2.0,16.0,8.0,2213889,16.213852608879833,632.019869,-0.09,4294.0416602031355,1399221836
Ghana,7.24,2.26,60.0,151.0,211.0,29121465,12.020929780796994,1998.626937,0.08,4800.051562828598,58202944394
Grenade,45.7,15.5,1.0,7.0,8.0,110874,3.190439848854308,9309.267842,0.99,7119.382363361113,1032155763
Grèce,15.32,6.32,246.0,79.0,178.0,10569450,-1.963385082725597,18690.624484,-0.08,2099.0355351152457,197549620952
Guatemala,20.58,6.11,235.0,129.0,357.0,16914970,10.766967823694037,4322.031108,-0.65,9003.729610353777,73107026531
Guinée,4.08,1.42,13.0,37.0,50.0,12067519,13.288432975833436,843.464278,-0.7,4594.435179460198,10178521201
Guinée-Bissau,2.16,0.74,3.0,4.0,4.0,1828145,13.904605605431597,718.245738,-0.5,4424.986472854542,1313057355
Guyana,38.34,12.33,31.0,0.0,32.0,775222,2.6241760976649426,6220.978568,-0.05,7308.957722525456,4822639447
Géorgie,15.27,5.19,22.0,51.0,61.0,4008716,-1.3629073651130161,4306.234809,-0.38,3378.557119847206,17262472379
Haïti,8.91,2.75,9.0,89.0,98.0,10982366,7.135313576426724,1405.447377,-0.68,7358.8399109193415,15435137488
Honduras,21.73,6.98,193.0,12.0,205.0,9429013,9.123367564006166,2403.306094,-0.57,8810.899948369904,22660804403
Hongrie,25.27,9.8,493.0,58.0,266.0,9729823,-1.3638495277645033,14619.783288,0.8,1247.6744180046828,142247903691
Inde,2.22,0.75,3545.0,0.0,3661.0,1338676785,5.7590200331195405,1937.924539,-0.77,6599.230103135983,2594254591441
Indonésie,7.19,2.42,2301.0,1.0,2323.0,264650963,6.520075960672955,3839.785075,-0.5,11586.603455109405,1016202817812
Iran (République islamique d'),27.52,9.8,2174.0,6.0,2220.0,80673883,6.796416854154834,5960.707147,-0.93,4217.549646488019,480873390974
Iraq,14.95,5.37,96.0,470.0,566.0,37552781,17.757190488269195,4725.193371,-2.3,3865.6108049885916,177444151844
Irlande,25.82,11.6,110.0,99.0,128.0,4753279,3.1483239218453725,70673.120437,0.99,782.4954445069311,335929059238
Islande,29.95,12.33,10.0,2.0,10.0,334393,2.6841536363971357,71961.532039,1.34,2235.579722272388,24063432583
Israël,67.39,27.87,629.0,0.0,636.0,8243848,8.258699463896818,42991.619562,-0.89,3335.934287240406,354416376943
Italie,18.88,7.83,1315.0,97.0,1173.0,60673701,1.3263811231732492,32694.406225,0.29,1106.600877466913,1983690627668
Jamaïque,51.1,15.71,128.0,31.0,152.0,2920848,2.769610982178168,5273.149061,0.3,7737.325661513582,15402066889
Japon,18.5,7.24,2215.0,1069.0,2415.0,127502725,-0.717038151820276,38928.952604,1.1,9735.661095604704,4963547538406
Jordanie,28.07,10.1,210.0,64.0,275.0,9785843,20.9627807893288,4073.116404,-0.43,3369.094950561624,39858877650
Kazakhstan,18.27,6.18,171.0,174.0,331.0,18080019,7.9305854243121034,9107.697679,0.02,4772.837678461262,164667347083
Kenya,0.67,0.23,35.0,0.0,35.0,50221142,13.25488374646033,1675.973652,-1.13,6469.054709221995,84169310765
Kirghizistan,3.1,1.08,7.0,25.0,32.0,6189733,10.106720962235501,1258.390778,-0.36,5433.380272482101,7789102925
Kiribati,17.98,6.65,1.0,1.0,2.0,114158,7.321613236814891,1563.46714,0.86,14357.413435495593,178482282
Koweït,46.25,15.87,56.0,137.0,189.0,4056099,21.119051806693218,29258.289476,-0.05,4411.145934261928,118674518685
Lesotho,7.93,2.72,2.0,15.0,17.0,2091534,3.798522476990006,1061.916962,-0.19,9012.032591588102,2221035431
Lettonie,20.89,7.22,33.0,43.0,41.0,1951097,-5.6992792709191225,15593.840393,0.45,1707.310346482867,30425095209
Liban,10.74,3.9,64.0,13.0,73.0,6819373,23.14645735381966,8679.897422,-1.62,3195.4359965976773,59191458122
Libéria,10.67,3.74,15.0,48.0,50.0,4702226,13.699557918097224,576.029301,-0.32,4877.421511821345,2708619956
Lituanie,28.19,9.74,118.0,44.0,82.0,2845414,-6.57176132738763,16443.298019,0.77,1700.6511287397846,46787990389
Luxembourg,18.33,7.19,0.0,11.0,11.0,591910,11.500837325306062,110203.008207,1.31,287.7565422066232,65230262588
Macédoine du Nord,19.73,7.01,2.0,40.0,41.0,2081996,0.3720812735805053,5353.775388,-0.26,1669.6192835668785,11146538943
Madagascar,2.87,0.97,81.0,0.0,82.0,25570512,14.42662645779713,503.498059,-0.3,8732.88337349644,12874703160
Malaisie,39.21,12.95,1724.0,68.0,1621.0,31104646,7.005792483322576,9979.705979,0.11,10429.450769292878,310415221661
Malawi,5.17,1.74,130.0,0.0,98.0,17670196,14.77123138682315,500.165554,-0.25,7616.81254988887,8838023372
Mali,2.83,0.96,48.0,1.0,52.0,18512430,15.851150749685722,795.682802,-1.9,4128.054046049553,14730022174
